Driver,LapNumber,LapTime,Stint,Compound,TyreLife,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST
HAM,45.0,0 days 00:01:14.849000,2.0,HARD,28.0,,,0 days 00:00:19.555000,0 days 00:00:35.439000,0 days 00:00:19.855000,,198.0,258.0,276.0
HAM,46.0,0 days 00:01:15.323000,2.0,HARD,29.0,,,0 days 00:00:19.592000,0 days 00:00:35.853000,0 days 00:00:19.878000,204.0,195.0,258.0,277.0
HAM,47.0,0 days 00:01:15.703000,2.0,HARD,30.0,,,0 days 00:00:19.797000,0 days 00:00:35.900000,0 days 00:00:20.006000,206.0,191.0,258.0,277.0
HAM,48.0,0 days 00:01:15.113000,2.0,HARD,31.0,,,0 days 00:00:19.552000,0 days 00:00:35.752000,0 days 00:00:19.809000,,197.0,259.0,277.0
HAM,49.0,0 days 00:01:15.569000,2.0,HARD,32.0,,,0 days 00:00:19.765000,0 days 00:00:35.782000,0 days 00:00:20.022000,201.0,196.0,258.0,278.0
HAM,50.0,0 days 00:01:15.694000,2.0,HARD,33.0,,,0 days 00:00:19.834000,0 days 00:00:35.879000,0 days 00:00:19.981000,202.0,195.0,258.0,277.0
HAM,51.0,0 days 00:01:15.559000,2.0,HARD,34.0,,,0 days 00:00:19.808000,0 days 00:00:35.739000,0 days 00:00:20.012000,198.0,196.0,259.0,278.0
HAM,52.0,0 days 00:01:15.494000,2.0,HARD,35.0,,,0 days 00:00:19.599000,0 days 00:00:35.827000,0 days 00:00:20.068000,202.0,197.0,258.0,279.0
HAM,53.0,0 days 00:01:16.185000,2.0,HARD,36.0,,,0 days 00:00:19.757000,0 days 00:00:36.216000,0 days 00:00:20.212000,200.0,194.0,260.0,280.0
HAM,54.0,0 days 00:01:16.217000,2.0,HARD,37.0,,,0 days 00:00:19.791000,0 days 00:00:36.234000,0 days 00:00:20.192000,201.0,193.0,259.0,279.0
HAM,55.0,0 days 00:01:16.657000,2.0,HARD,38.0,,,0 days 00:00:19.882000,0 days 00:00:36.482000,0 days 00:00:20.293000,202.0,193.0,258.0,282.0
HAM,56.0,0 days 00:01:33.566000,2.0,HARD,39.0,,0 days 02:09:16.665000,0 days 00:00:19.953000,0 days 00:00:36.254000,0 days 00:00:37.359000,200.0,192.0,,282.0
HAM,57.0,0 days 00:01:21.468000,3.0,MEDIUM,4.0,0 days 02:09:40.706000,,0 days 00:00:23.190000,0 days 00:00:37.238000,0 days 00:00:21.040000,179.0,187.0,256.0,271.0
HAM,58.0,0 days 00:01:18.349000,3.0,MEDIUM,5.0,,,0 days 00:00:20.878000,0 days 00:00:36.850000,0 days 00:00:20.621000,185.0,190.0,256.0,273.0
HAM,59.0,0 days 00:01:16.686000,3.0,MEDIUM,6.0,,,0 days 00:00:20.387000,0 days 00:00:36.289000,0 days 00:00:20.010000,193.0,194.0,258.0,277.0
