Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 01:21:48.598000,RUS,63,0 days 00:01:59.779000,13.0,2.0,,,0 days 00:00:34.099000,0 days 00:00:48.515000,0 days 00:00:37.165000,0 days 01:20:22.930000,0 days 01:21:11.445000,0 days 01:21:48.610000,262.0,241.0,126.0,309.0,False,INTERMEDIATE,3.0,True,Mercedes,0 days 01:19:48.819000,2025-07-06 14:27:29.432,124,9.0,False,,False,False
0 days 01:24:06.462000,RUS,63,0 days 00:02:17.864000,14.0,2.0,,,0 days 00:00:44.511000,0 days 00:00:55.476000,0 days 00:00:37.877000,0 days 01:22:33.121000,0 days 01:23:28.597000,0 days 01:24:06.474000,219.0,204.0,169.0,182.0,False,INTERMEDIATE,4.0,True,Mercedes,0 days 01:21:48.598000,2025-07-06 14:29:29.211,4,9.0,False,,False,False
0 days 01:26:31.023000,RUS,63,0 days 00:02:24.561000,15.0,2.0,,,0 days 00:00:40.834000,0 days 00:00:59.308000,0 days 00:00:44.419000,0 days 01:24:47.308000,0 days 01:25:46.616000,0 days 01:26:31.035000,234.0,213.0,79.0,139.0,False,INTERMEDIATE,5.0,True,Mercedes,0 days 01:24:06.462000,2025-07-06 14:31:47.075,4,9.0,False,,False,False
0 days 01:29:15.780000,RUS,63,,16.0,2.0,,,0 days 00:00:54.769000,0 days 00:01:06.660000,0 days 00:00:43.117000,0 days 01:27:26.017000,0 days 01:28:32.685000,0 days 01:29:15.792000,146.0,116.0,82.0,174.0,False,INTERMEDIATE,6.0,True,Mercedes,0 days 01:26:31.023000,2025-07-06 14:34:11.636,4,9.0,False,,False,False
0 days 01:32:08.221000,RUS,63,,17.0,2.0,,,0 days 00:00:52.167000,0 days 00:01:06.116000,0 days 00:00:54.245000,0 days 01:30:07.872000,0 days 01:31:14.087000,0 days 01:32:08.354000,130.0,184.0,195.0,83.0,False,INTERMEDIATE,7.0,True,Mercedes,0 days 01:29:15.780000,2025-07-06 14:36:56.393,41,9.0,False,,False,False
0 days 01:34:13.620000,RUS,63,0 days 00:02:05.399000,18.0,2.0,,,0 days 00:00:37.667000,0 days 00:00:47.805000,0 days 00:00:39.927000,0 days 01:32:45.900000,0 days 01:33:33.705000,0 days 01:34:13.632000,268.0,234.0,199.0,141.0,False,INTERMEDIATE,8.0,True,Mercedes,0 days 01:32:08.221000,2025-07-06 14:39:48.834,124,9.0,False,,False,False
0 days 01:36:50.715000,RUS,63,,19.0,2.0,,,0 days 00:00:43.868000,0 days 00:01:06.669000,0 days 00:00:46.571000,0 days 01:34:57.487000,0 days 01:36:04.173000,0 days 01:36:50.770000,230.0,107.0,105.0,206.0,False,INTERMEDIATE,9.0,True,Mercedes,0 days 01:34:13.620000,2025-07-06 14:41:54.233,4,8.0,False,,False,False
0 days 01:39:33.705000,RUS,63,,20.0,2.0,,,0 days 00:00:48.625000,0 days 00:01:08.233000,0 days 00:00:46.159000,0 days 01:37:39.412000,0 days 01:38:47.558000,0 days 01:39:33.824000,178.0,73.0,68.0,180.0,False,INTERMEDIATE,10.0,True,Mercedes,0 days 01:36:50.715000,2025-07-06 14:44:31.328,4,9.0,False,,False,False
0 days 01:42:10.780000,RUS,63,,21.0,2.0,,,0 days 00:00:50.481000,0 days 00:01:03.420000,0 days 00:00:43.237000,0 days 01:40:24.297000,0 days 01:41:27.589000,0 days 01:42:10.910000,253.0,70.0,206.0,78.0,False,INTERMEDIATE,11.0,True,Mercedes,0 days 01:39:33.705000,2025-07-06 14:47:14.318,41,7.0,False,,False,False
0 days 01:44:01.031000,RUS,63,0 days 00:01:50.251000,22.0,2.0,,,0 days 00:00:35.346000,0 days 00:00:45.805000,0 days 00:00:29.100000,0 days 01:42:46.138000,0 days 01:43:31.943000,0 days 01:44:01.043000,279.0,244.0,223.0,305.0,False,INTERMEDIATE,12.0,True,Mercedes,0 days 01:42:10.780000,2025-07-06 14:49:51.393,12,7.0,False,,False,True
