Driver,LapNumber,LapTime,Stint,Compound,TyreLife,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST
LEC,49.0,0 days 00:01:31.170000,3.0,SOFT,10.0,,,0 days 00:00:29.197000,0 days 00:00:37.126000,0 days 00:00:24.847000,291.0,260.0,250.0,306.0
LEC,50.0,0 days 00:01:30.819000,3.0,SOFT,11.0,,,0 days 00:00:29.096000,0 days 00:00:37.067000,0 days 00:00:24.656000,294.0,257.0,252.0,309.0
LEC,51.0,0 days 00:01:31.240000,3.0,SOFT,12.0,,,0 days 00:00:29.156000,0 days 00:00:37.255000,0 days 00:00:24.829000,293.0,259.0,250.0,306.0
LEC,52.0,0 days 00:01:31.629000,3.0,SOFT,13.0,,,0 days 00:00:29.156000,0 days 00:00:37.229000,0 days 00:00:25.244000,292.0,262.0,237.0,305.0
HAM,1.0,0 days 00:01:48.827000,1.0,INTERMEDIATE,1.0,,,,0 days 00:00:42.254000,0 days 00:00:29.916000,291.0,240.0,201.0,309.0
HAM,2.0,0 days 00:02:17.611000,1.0,INTERMEDIATE,2.0,,,0 days 00:00:52.654000,0 days 00:00:49.054000,0 days 00:00:35.903000,118.0,218.0,115.0,264.0
HAM,3.0,0 days 00:02:16.362000,1.0,INTERMEDIATE,3.0,,,0 days 00:00:49.759000,0 days 00:00:50.370000,0 days 00:00:36.233000,,217.0,150.0,181.0
HAM,4.0,0 days 00:01:46.333000,1.0,INTERMEDIATE,4.0,,,0 days 00:00:35.675000,0 days 00:00:41.582000,0 days 00:00:29.076000,293.0,234.0,213.0,296.0
HAM,5.0,0 days 00:01:47.677000,1.0,INTERMEDIATE,5.0,,,0 days 00:00:32.173000,0 days 00:00:42.898000,0 days 00:00:32.606000,,234.0,86.0,300.0
HAM,6.0,0 days 00:02:16.745000,1.0,INTERMEDIATE,6.0,,,0 days 00:00:43.370000,0 days 00:00:58.154000,0 days 00:00:35.221000,244.0,216.0,138.0,268.0
HAM,7.0,0 days 00:02:04.009000,1.0,INTERMEDIATE,7.0,,,0 days 00:00:44.098000,0 days 00:00:49.749000,0 days 00:00:30.162000,238.0,239.0,214.0,297.0
HAM,8.0,0 days 00:01:46.102000,1.0,INTERMEDIATE,8.0,,,0 days 00:00:32.457000,0 days 00:00:43.174000,0 days 00:00:30.471000,291.0,235.0,204.0,305.0
HAM,9.0,0 days 00:01:48.049000,1.0,INTERMEDIATE,9.0,,,0 days 00:00:33.149000,0 days 00:00:44.203000,0 days 00:00:30.697000,288.0,227.0,200.0,300.0
HAM,10.0,0 days 00:01:48.242000,1.0,INTERMEDIATE,10.0,,,0 days 00:00:32.745000,0 days 00:00:44.528000,0 days 00:00:30.969000,293.0,228.0,200.0,304.0
HAM,11.0,0 days 00:01:49.484000,1.0,INTERMEDIATE,11.0,,0 days 01:17:32.787000,0 days 00:00:33.469000,0 days 00:00:48.256000,0 days 00:00:27.759000,275.0,224.0,,308.0
HAM,12.0,0 days 00:02:07.044000,2.0,INTERMEDIATE,1.0,0 days 01:18:01.672000,,0 days 00:00:53.133000,0 days 00:00:45.146000,0 days 00:00:28.765000,283.0,240.0,210.0,300.0
HAM,13.0,0 days 00:02:00.754000,2.0,INTERMEDIATE,2.0,,,0 days 00:00:34.770000,0 days 00:00:50.499000,0 days 00:00:35.485000,279.0,235.0,104.0,301.0
HAM,14.0,0 days 00:02:16.623000,2.0,INTERMEDIATE,3.0,,,0 days 00:00:43.792000,0 days 00:00:56.557000,0 days 00:00:36.274000,224.0,206.0,182.0,184.0
HAM,15.0,0 days 00:02:26.802000,2.0,INTERMEDIATE,4.0,,,0 days 00:00:42.614000,0 days 00:00:59.460000,0 days 00:00:44.728000,189.0,186.0,92.0,160.0
HAM,16.0,,2.0,INTERMEDIATE,5.0,,,0 days 00:00:54.860000,0 days 00:01:06.102000,0 days 00:00:43.830000,159.0,116.0,66.0,158.0
